trial,respColour,colour,err_colour,err_colour_z,cue,respMem_1,sens_Resp,err_1,confMem_1,zconfMem_1,err1_cal,respMem_2,correctMem_2,err_2,confMem_2,zconfMem_2,err2_cal,response_1,correct_1,conf_1,zconf_1,subID,conf,zconf,errDiff,errDiff_cal,errDiff_cal_abs,cue_category,colour_name,lbound,ubound,colour_ans,cueID,colourCal,colourCue
41,1,351,45,0.637258512821766,60,10,306,19,119,0.151938696846569,64,2,0,11,75,-1.15736174169531,56,2,0,6,1.39400595233869,44,1,-1.15625173008074,-8,-8,8,desert,351,346.5,355.5,39,40,38,38
42,25,81,29,-0.13081201110654,6,227,52,146,116,0.0798729117810025,175,188,0,107,180,1.03916754665548,136,2,1,5,0.813170138864238,44,5,0.811836321120521,-39,-39,39,mountain,81,76.5,85.5,9,6,8,8
43,16,135,30,-0.0828076033610205,57,140,165,5,131,0.440201837108833,25,52,0,83,41,-1.86861884458985,113,1,0,1,-1.51017311503359,44,2,-0.664229717280427,78,88,88,desert,135,130.5,139.5,15,37,14,14
44,26,243,50,0.877280551549362,29,230,293,13,93,-0.472631440388338,63,244,1,1,108,-0.467023965356488,49,2,1,6,1.39400595233869,44,1,-1.15625173008074,-12,-14,14,town,243,238.5,247.5,27,19,26,26
45,21,45,17,-0.706864904052769,41,191,62,146,180,1.61727632651308,129,225,0,180,166,0.746296974875375,163,2,0,6,1.39400595233869,44,2,-0.664229717280427,34,34,34,forest,45,40.5,49.5,5,26,4,4
46,24,234,50,0.877280551549362,21,218,184,16,124,0.272048338622512,34,222,1,12,178,0.997328893544036,38,2,1,1,-1.51017311503359,44,3,-0.172207704480111,-4,4,4,city,234,229.5,238.5,26,14,25,25
47,14,99,49,0.829276143803843,27,129,50,30,129,0.392157980398456,79,124,1,25,125,-0.111395413909218,74,1,1,2,-0.929337301559129,44,2,-0.664229717280427,-5,-5,5,town,99,94.5,103.5,11,17,10,10
48,2,27,31,-0.0348031956155014,26,16,58,11,62,-1.21731121939919,42,114,0,87,153,0.474345729650992,56,0,0,5,0.813170138864238,44,1,-1.15625173008074,76,14,14,town,27,22.5,31.5,3,16,2,2
49,38,279,26,-0.274825234343097,59,340,305,61,180,1.61727632651308,35,94,0,175,180,1.03916754665548,149,2,1,3,-0.348501488084674,44,6,1.30385833392084,114,114,114,desert,279,274.5,283.5,31,39,30,30
50,30,171,8,-1.13890457376244,28,268,179,97,180,1.61727632651308,89,205,1,34,180,1.03916754665548,26,1,0,4,0.232334325389782,44,6,1.30385833392084,-63,-63,63,town,171,166.5,175.5,19,18,18,18
51,13,108,57,1.213311405768,33,115,51,7,130,0.416179908753644,64,124,1,16,135,0.0977978516479995,73,1,1,6,1.39400595233869,44,1,-1.15625173008074,9,9,9,school,108,103.5,112.5,12,22,11,11
52,26,225,55,1.11730259027696,9,238,170,13,114,0.0318290550706251,68,291,0,66,165,0.725377648319653,121,1,1,4,0.232334325389782,44,5,0.811836321120521,53,53,53,mountain,225,220.5,229.5,25,8,24,24
53,3,315,14,-0.850878127289326,30,28,301,73,69,-1.04915772091287,87,113,0,158,130,-0.00679878113060934,172,1,1,5,0.813170138864238,44,4,0.319814308320205,85,85,85,town,315,310.5,319.5,35,20,34,34
54,1,342,36,0.205218843112094,55,5,306,23,109,-0.0882805867053184,59,357,0,15,108,-0.467023965356488,51,1,0,4,0.232334325389782,44,1,-1.15625173008074,-8,-8,8,sea,342,337.5,346.5,38,35,37,37
55,25,216,41,0.44524088183969,3,228,175,12,112,-0.0162148016397523,53,9,0,153,180,1.03916754665548,166,2,1,2,-0.929337301559129,44,6,1.30385833392084,141,113,113,lake,216,211.5,220.5,24,3,23,23
56,24,72,19,-0.610856088561731,1,216,53,144,180,1.61727632651308,163,222,0,150,108,-0.467023965356488,169,1,0,1,-1.51017311503359,44,6,1.30385833392084,6,6,6,lake,72,67.5,76.5,8,1,7,7
57,40,9,51,0.925284959294881,13,356,60,13,97,-0.376543726967583,64,242,0,127,136,0.118717178203721,178,2,0,2,-0.929337301559129,44,1,-1.15625173008074,114,114,114,mountain,9,4.5,13.5,1,10,40,40
58,27,261,34,0.109210027621056,46,241,295,20,100,-0.304477941902017,54,205,1,56,131,0.0141205454251124,90,1,1,3,-0.348501488084674,44,4,0.319814308320205,36,36,36,forest,261,256.5,265.5,29,29,28,28
59,1,18,39,0.349232066348651,17,5,57,13,105,-0.184368300126073,52,350,0,28,113,-0.36242733257788,67,1,0,5,0.813170138864238,44,1,-1.15625173008074,15,15,15,city,18,13.5,22.5,2,11,1,1
60,26,288,20,-0.562851680816212,4,236,308,52,120,0.175960625201757,72,213,0,75,127,-0.0695567607977747,95,2,0,5,0.813170138864238,44,6,1.30385833392084,23,23,23,lake,288,283.5,292.5,32,4,31,31
61,26,207,104,3.46951856980739,58,235,311,28,94,-0.448609512033149,76,235,0,28,48,-1.7221835586998,76,2,1,3,-0.348501488084674,44,1,-1.15625173008074,0,0,0,desert,207,202.5,211.5,23,38,22,22
62,33,180,7,-1.18690898150796,35,301,173,121,70,-1.02513579255768,128,307,0,127,180,1.03916754665548,134,2,0,1,-1.51017311503359,44,6,1.30385833392084,6,6,6,school,180,175.5,184.5,20,23,19,19
63,6,270,42,0.493245289585209,54,56,312,146,39,-1.76981557156853,104,332,0,62,180,1.03916754665548,20,0,0,6,1.39400595233869,44,4,0.319814308320205,-84,-84,84,sea,270,265.5,274.5,30,34,29,29
64,19,198,29,-0.13081201110654,53,174,169,24,63,-1.193289291044,5,191,1,7,38,-1.93137682425701,22,2,1,4,0.232334325389782,44,1,-1.15625173008074,-17,17,17,sea,198,193.5,202.5,22,33,21,21
65,14,153,24,-0.370834049834135,8,129,177,24,175,1.49716668473714,48,118,1,35,180,1.03916754665548,59,2,0,4,0.232334325389782,44,4,0.319814308320205,11,11,11,mountain,153,148.5,157.5,17,7,16,16
66,13,126,55,1.11730259027696,52,120,181,6,137,0.584333407239965,61,287,0,161,105,-0.529781945023654,106,1,1,4,0.232334325389782,44,6,1.30385833392084,155,45,45,sea,126,121.5,130.5,14,32,13,13
67,6,360,24,-0.370834049834135,5,58,336,58,180,1.61727632651308,82,203,0,157,180,1.03916754665548,133,1,0,5,0.813170138864238,44,6,1.30385833392084,99,51,51,lake,360,355.5,364.5,40,5,39,39
68,13,162,15,-0.802873719543807,20,118,177,44,134,0.512267622174399,59,1,0,161,116,-0.299669352910714,176,2,0,4,0.232334325389782,44,3,-0.172207704480111,117,117,117,city,162,157.5,166.5,18,13,17,17
69,33,297,5,-1.282917796999,11,298,292,1,46,-1.60166207308221,6,302,1,5,60,-1.47115164003113,10,2,1,1,-1.51017311503359,44,2,-0.664229717280427,4,4,4,mountain,297,292.5,301.5,33,9,32,32
70,16,117,69,1.78936429871422,44,142,48,25,160,1.13683775940931,94,177,1,60,180,1.03916754665548,129,1,1,4,0.232334325389782,44,5,0.811836321120521,35,35,35,forest,117,112.5,121.5,13,27,12,12
71,35,324,13,-0.898882535034845,40,311,311,13,71,-1.00111386420249,0,349,0,25,97,-0.697136557469428,38,1,0,1,-1.51017311503359,44,1,-1.15625173008074,12,38,38,school,324,319.5,328.5,36,25,35,35
72,13,90,44,0.589254105076247,19,116,46,26,146,0.800530762436664,70,5,0,85,82,-1.01092645580525,41,1,0,2,-0.929337301559129,44,4,0.319814308320205,59,-29,29,city,90,85.5,94.5,10,12,9,9
73,14,144,25,-0.322829642088616,2,124,169,20,126,0.32009219533289,45,113,1,31,180,1.03916754665548,56,1,1,3,-0.348501488084674,44,6,1.30385833392084,11,11,11,lake,144,139.5,148.5,16,2,15,15
74,5,54,1,-1.47493542798107,51,48,55,6,63,-1.193289291044,7,55,1,1,72,-1.22011972136247,0,1,1,1,-1.51017311503359,44,2,-0.664229717280427,-5,-7,7,sea,54,49.5,58.5,6,31,5,5
75,15,333,15,-0.802873719543807,49,132,318,159,130,0.416179908753644,174,349,0,16,102,-0.592539924690819,31,2,0,4,0.232334325389782,44,4,0.319814308320205,-143,-143,143,forest,333,328.5,337.5,37,30,36,36
76,26,252,48,0.781271736058323,36,235,300,17,97,-0.376543726967583,65,173,1,79,180,1.03916754665548,127,2,1,1,-1.51017311503359,44,1,-1.15625173008074,62,62,62,school,252,247.5,256.5,28,24,27,27
