cat,colBin,colSim,roiName,session
0.027571,-0.0083452,-0.013342,anatlOFC_30,session 1
-0.0054319,0.0026708,-0.0021951,anatlOFC_30,session 1
0.0014339,-0.0088911,0.0021887,anatlOFC_30,session 1
0.0079594,-0.0069954,0.0042129,anatlOFC_30,session 1
-0.0027635,0.0068169,0.0054594,anatlOFC_30,session 1
-0.008033,0.0053149,0.00081728,anatlOFC_30,session 1
0.0051505,0.032558,-0.0073781,anatlOFC_30,session 1
-0.015647,0.017227,0.0026992,anatlOFC_30,session 1
-0.020589,-0.0044148,-0.0061011,anatlOFC_30,session 1
-0.0025927,0.016183,-0.0083034,anatlOFC_30,session 1
-0.0017916,0.0085584,0.0025174,anatlOFC_30,session 1
-0.0073416,-0.0065513,-0.00023325,anatlOFC_30,session 1
0.0083107,0.023401,-0.0020055,anatlOFC_30,session 1
-0.016714,0.0092715,0.0037892,anatlOFC_30,session 1
0.011632,-0.015263,0.0029875,anatlOFC_30,session 1
-0.0044508,-0.0046732,-0.0027989,anatlOFC_30,session 1
-0.0060499,-0.0021403,-0.0083541,anatlOFC_30,session 1
-0.00098488,0.024035,-0.0065628,anatlOFC_30,session 1
0.010819,0.0016463,0.0019582,anatlOFC_30,session 1
0.0036689,-0.0027434,-0.0037032,anatlOFC_30,session 1
-0.014844,-0.00094606,-0.0086481,anatlOFC_30,session 1
0.0048599,0.024058,0.0088097,anatlOFC_30,session 1
0.029541,-0.006317,-0.016878,anatlOFC_30,session 1
-0.0036531,-0.011655,0.0062467,anatlOFC_30,session 1
-0.0090282,-0.0031935,-0.0017956,anatlOFC_30,session 1
-0.016924,-0.0079466,-0.0061409,anatlOFC_30,session 1
0.00073405,0.011605,0.0020479,anatlOFC_30,session 1
0.0040642,0.01589,-0.0034308,anatlOFC_30,session 1
0.0062328,0.0034774,0.00039906,anatlOFC_30,session 1
-0.0024071,0.00014879,-0.00070514,anatlOFC_30,session 1
-0.00083446,0.025121,-0.010287,anatlOFC_30,session 1
4.9009e-05,0.0020435,-0.00050983,anatlOFC_30,session 1
0.001363,-0.0048522,0.00069723,anatlOFC_30,session 1
0.0032702,0.017904,0.00085469,anatlOFC_30,session 1
0.0015375,0.030509,0.0040785,anatlOFC_30,session 1
0.0038996,-0.00036576,-0.00090946,anatlOFC_30,session 1
0.010942,-0.0071485,-0.0026299,anatlOFC_30,session 1
0.0049143,0.0058213,-0.0032028,anatlOFC_30,session 1
0.0059272,0.0022686,0.005838,anatlOFC_30,session 1
-0.0088708,-0.009199,0.0079603,anatlOFC_30,session 1
0.0081766,0.0069286,0.0049594,anatlOFC_30,session 1
-0.0044969,-0.00038432,0.0035023,anatlOFC_30,session 1
0.0092486,0.0038548,-0.0033876,anatrOFC_30,session 1
-0.0064789,0.002803,-0.0021576,anatrOFC_30,session 1
-0.0068591,-0.007897,0.0053563,anatrOFC_30,session 1
-0.0020245,-0.0057186,-0.0041809,anatrOFC_30,session 1
0.0023367,-0.0011668,0.0011863,anatrOFC_30,session 1
-0.013962,0.026432,-0.0079726,anatrOFC_30,session 1
-0.0028272,0.018543,-0.0039743,anatrOFC_30,session 1
-0.0086868,0.02127,0.0019779,anatrOFC_30,session 1
-0.017808,-0.018566,-0.00026948,anatrOFC_30,session 1
0.0081483,0.010778,-0.0037198,anatrOFC_30,session 1
-0.00055289,0.0075487,-0.0005118,anatrOFC_30,session 1
-0.003078,-0.01378,-0.0021988,anatrOFC_30,session 1
0.0048176,0.0056347,-0.0065672,anatrOFC_30,session 1
-0.012552,0.0054976,-0.0031798,anatrOFC_30,session 1
0.02419,-0.010381,0.0031663,anatrOFC_30,session 1
0.00057309,-0.016591,0.001394,anatrOFC_30,session 1
-0.010909,-0.010594,-0.0090461,anatrOFC_30,session 1
0.0013866,0.0011801,-0.0024326,anatrOFC_30,session 1
0.030858,-0.0033231,0.01602,anatrOFC_30,session 1
-0.0011598,0.0046294,0.002248,anatrOFC_30,session 1
-0.010404,0.0050451,-0.0047306,anatrOFC_30,session 1
0.0092997,0.0034139,0.0022888,anatrOFC_30,session 1
0.023367,-0.015423,-0.012239,anatrOFC_30,session 1
0.0050945,-0.011998,0.0039002,anatrOFC_30,session 1
0.0019232,-0.011007,-0.0030004,anatrOFC_30,session 1
-0.019668,-0.0021576,-0.005898,anatrOFC_30,session 1
7.2245e-05,0.011901,0.0030926,anatrOFC_30,session 1
0.014093,0.0069195,-0.0073068,anatrOFC_30,session 1
0.0014898,0.0029169,0.0016869,anatrOFC_30,session 1
0.013728,-0.018174,-0.00021331,anatrOFC_30,session 1
0.00436,0.015555,-0.0066057,anatrOFC_30,session 1
-0.010227,-0.010111,-0.0042688,anatrOFC_30,session 1
0.0026969,-0.001953,-0.0022007,anatrOFC_30,session 1
0.0014892,0.014446,0.012847,anatrOFC_30,session 1
-0.0029825,0.015603,-0.0021711,anatrOFC_30,session 1
0.0068136,-0.009134,0.0026225,anatrOFC_30,session 1
0.012638,0.0080392,0.0031224,anatrOFC_30,session 1
-0.0027453,0.011326,-0.0036338,anatrOFC_30,session 1
-0.0050026,-0.0036515,0.0063482,anatrOFC_30,session 1
-0.0081247,-0.0052544,0.0084132,anatrOFC_30,session 1
0.0062578,0.0013619,0.0090152,anatrOFC_30,session 1
-0.0018017,0.0019552,-1.0667e-06,anatrOFC_30,session 1
0.01998,-0.002855,-0.0097063,anatBiOFC_30,session 1
-0.0058938,0.0029797,-0.0014194,anatBiOFC_30,session 1
-0.0020963,-0.0084842,0.0037086,anatBiOFC_30,session 1
0.0059017,-0.0066943,0.0010065,anatBiOFC_30,session 1
-0.00041583,0.0031014,0.004303,anatBiOFC_30,session 1
-0.0097485,0.013066,-0.0024807,anatBiOFC_30,session 1
0.002367,0.027287,-0.0064942,anatBiOFC_30,session 1
-0.012783,0.016705,0.0024942,anatBiOFC_30,session 1
-0.019439,-0.0098216,-0.0039095,anatBiOFC_30,session 1
0.0013219,0.013262,-0.0062786,anatBiOFC_30,session 1
-0.0020725,0.0082202,0.0014627,anatBiOFC_30,session 1
-0.0050633,-0.0088033,-0.00055429,anatBiOFC_30,session 1
0.0074209,0.013975,-0.0044627,anatBiOFC_30,session 1
-0.015216,0.0059064,0.00054331,anatBiOFC_30,session 1
0.021589,-0.014276,0.0038692,anatBiOFC_30,session 1
-0.0016969,-0.011232,-0.00088907,anatBiOFC_30,session 1
-0.0061658,-0.0042696,-0.008474,anatBiOFC_30,session 1
-5.816e-05,0.014266,-0.0047316,anatBiOFC_30,session 1
0.020414,-0.00037724,0.0085219,anatBiOFC_30,session 1
0.0022771,0.00061462,-0.0013692,anatBiOFC_30,session 1
-0.012886,0.0015488,-0.007313,anatBiOFC_30,session 1
0.0064504,0.013416,0.0059852,anatBiOFC_30,session 1
0.02632,-0.0092631,-0.014213,anatBiOFC_30,session 1
-0.00097679,-0.012585,0.0058016,anatBiOFC_30,session 1
-0.0044407,-0.0059787,-0.0018581,anatBiOFC_30,session 1
-0.018212,-0.0054339,-0.0058619,anatBiOFC_30,session 1
-8.0366e-06,0.011551,0.0028517,anatBiOFC_30,session 1
0.0094823,0.010645,-0.0050281,anatBiOFC_30,session 1
0.0044345,0.0033198,0.0002958,anatBiOFC_30,session 1
0.0053825,-0.0071724,-0.00045399,anatBiOFC_30,session 1
0.0020267,0.020527,-0.0085021,anatBiOFC_30,session 1
-0.0048796,-0.0035525,-0.0024195,anatBiOFC_30,session 1
0.0018658,-0.0030924,-0.0009682,anatBiOFC_30,session 1
0.0021995,0.015179,0.005495,anatBiOFC_30,session 1
-0.0011454,0.023951,0.00099306,anatBiOFC_30,session 1
0.0052247,-0.0043131,7.0883e-05,anatBiOFC_30,session 1
0.011671,-0.0010155,-0.00032224,anatBiOFC_30,session 1
0.0024165,0.0087837,-0.0032588,anatBiOFC_30,session 1
0.0012035,-0.00027604,0.005818,anatBiOFC_30,session 1
-0.0083112,-0.0085375,0.0086969,anatBiOFC_30,session 1
0.0079169,0.0048696,0.0062287,anatBiOFC_30,session 1
-0.0031502,0.00017808,0.0020363,anatBiOFC_30,session 1
0.0039187,0.0032823,-0.0042954,anatrHippo_30,session 1
0.0043614,-0.00065889,-0.0020582,anatrHippo_30,session 1
