cat,colBin,colSim,roiName,session
0.029918,0.022577,0.0081829,anatlOFC_30,session 1
0.001304,-0.010535,0.0018286,anatlOFC_30,session 1
-0.015766,0.017158,-0.0073259,anatlOFC_30,session 1
0.014167,-0.005076,0.0055779,anatlOFC_30,session 1
-0.00095039,0.00018428,0.00055173,anatlOFC_30,session 1
-0.0034362,0.003398,-0.0043725,anatlOFC_30,session 1
-0.0035763,0.015136,0.00036159,anatlOFC_30,session 1
-0.00028805,0.013747,-0.012099,anatlOFC_30,session 1
-0.039134,0.08278,0.01563,anatlOFC_30,session 1
0.015043,-0.0094777,-0.0010033,anatlOFC_30,session 1
0.0032451,0.0085744,0.00051192,anatlOFC_30,session 1
-0.013437,-0.0022263,0.0067404,anatlOFC_30,session 1
0.0020406,0.0075219,0.0031003,anatlOFC_30,session 1
-0.0077619,-0.016206,0.0039623,anatlOFC_30,session 1
-0.0053435,-0.01664,0.0015451,anatlOFC_30,session 1
-0.0071874,0.0084278,0.0029335,anatlOFC_30,session 1
-0.00041288,-0.011046,0.0069497,anatlOFC_30,session 1
-0.011599,-0.016472,0.0053737,anatlOFC_30,session 1
-0.0097649,-0.0066479,-0.0034806,anatlOFC_30,session 1
-0.0044965,-0.0019114,-0.0010049,anatlOFC_30,session 1
0.00047341,0.011987,0.029309,anatlOFC_30,session 1
-0.0083367,0.0033129,0.0086502,anatlOFC_30,session 1
-0.025688,0.063214,-0.0037192,anatlOFC_30,session 1
-0.004955,0.011411,0.003027,anatlOFC_30,session 1
-0.0070635,0.014614,-0.0041144,anatlOFC_30,session 1
-0.0036744,0.01492,-0.012983,anatlOFC_30,session 1
-0.01128,-0.027552,-0.009493,anatlOFC_30,session 1
0.0081488,0.0057298,-0.003325,anatlOFC_30,session 1
-0.0033125,0.0079631,0.0015195,anatlOFC_30,session 1
-0.034973,0.0095036,-0.014356,anatlOFC_30,session 1
-0.01058,-0.0088849,0.017985,anatlOFC_30,session 1
0.00071176,-0.009282,-0.010437,anatlOFC_30,session 1
-0.011595,-0.0020432,0.0051016,anatlOFC_30,session 1
-0.027829,0.004814,0.0088307,anatlOFC_30,session 1
-0.010633,0.011212,-0.0010019,anatlOFC_30,session 1
-0.015357,-0.0079314,0.0040732,anatlOFC_30,session 1
-0.0024233,-0.0048422,0.0041519,anatlOFC_30,session 1
-0.0044115,-0.010832,0.0024009,anatlOFC_30,session 1
-0.0050737,-0.0097441,0.0060129,anatlOFC_30,session 1
0.015326,-0.015927,-0.0021075,anatlOFC_30,session 1
-0.010424,-0.01317,-0.0060525,anatlOFC_30,session 1
0.0079662,-0.019628,0.0012333,anatlOFC_30,session 1
0.016546,0.018204,-0.0026496,anatrOFC_30,session 1
-0.0024025,-0.0099919,-0.0068293,anatrOFC_30,session 1
0.0051065,0.014822,0.0018909,anatrOFC_30,session 1
0.0090996,0.00092767,0.0085074,anatrOFC_30,session 1
0.010073,-0.0061395,0.016034,anatrOFC_30,session 1
-0.0052523,0.019173,-0.0035443,anatrOFC_30,session 1
-0.0036635,-0.0069087,0.00081749,anatrOFC_30,session 1
-0.001876,-0.0013991,-0.0014191,anatrOFC_30,session 1
-0.026425,0.070884,0.0073502,anatrOFC_30,session 1
0.013062,-0.013033,0.0059596,anatrOFC_30,session 1
-0.021744,-0.0029436,-0.0020173,anatrOFC_30,session 1
-0.021512,-0.01444,1.7569e-05,anatrOFC_30,session 1
-0.0034137,0.013792,-0.0023234,anatrOFC_30,session 1
-0.014961,-0.014144,-0.002618,anatrOFC_30,session 1
0.004107,-0.01106,0.0041906,anatrOFC_30,session 1
-0.01931,-0.0031917,0.0090969,anatrOFC_30,session 1
-0.001957,-0.0040803,0.0016857,anatrOFC_30,session 1
-0.0077935,0.011495,0.0035841,anatrOFC_30,session 1
0.0051538,-0.0056065,0.0092593,anatrOFC_30,session 1
-0.017373,-0.0044695,0.0034551,anatrOFC_30,session 1
-0.0040068,-0.0011535,0.033608,anatrOFC_30,session 1
-0.013889,0.0027802,-0.00076014,anatrOFC_30,session 1
-0.013005,0.078154,-0.0053489,anatrOFC_30,session 1
-0.0043336,0.014956,0.0015158,anatrOFC_30,session 1
-0.017295,0.0036279,0.0025367,anatrOFC_30,session 1
0.0046864,-2.9273e-05,-0.011291,anatrOFC_30,session 1
-0.019845,-0.02851,6.2962e-05,anatrOFC_30,session 1
-0.0010354,-0.0024478,-0.0031991,anatrOFC_30,session 1
-0.0024698,0.011055,-0.0028131,anatrOFC_30,session 1
-0.016659,0.010355,-0.0090529,anatrOFC_30,session 1
-0.0057455,0.0038044,0.018761,anatrOFC_30,session 1
0.0039875,-0.010408,-0.0046918,anatrOFC_30,session 1
-0.0071232,0.0087519,0.00090967,anatrOFC_30,session 1
-0.01615,0.0059554,0.010216,anatrOFC_30,session 1
-0.0093159,0.0057557,-0.0039719,anatrOFC_30,session 1
